run_key,method,representation,k,seed,eps,min_samples,linkage,seconds,inertia,n_clusters,noise_ratio,silhouette,purity,nmi,rand_index,clustered_points,valid_dbscan_score
K-Means | Sentence embedding | K=20 | seed=43,K-Means,Sentence embedding,20.0,43.0,,,,0.10468173027038574,874.5797729492188,20,0.0,0.021258880303692603,0.5505,0.2567007664048968,0.7988829414707354,,
Spherical K-Means | Sentence embedding | K=20 | seed=43,Spherical K-Means,Sentence embedding,20.0,43.0,,,,0.040335893630981445,501.13262939453125,20,0.0,0.038219607211894546,0.529,0.24678483116083377,0.7974367183591796,,
K-Means | Sentence embedding | K=15 | seed=42,K-Means,Sentence embedding,15.0,42.0,,,,0.10624814033508301,885.7510986328125,15,0.0,0.027516613691715215,0.534,0.23789424509818388,0.7889089544772386,,
K-Means | Sentence embedding | K=20 | seed=42,K-Means,Sentence embedding,20.0,42.0,,,,0.11768746376037598,877.6638793945312,20,0.0,0.025475963976057066,0.5295,0.2376287596786051,0.7935787893946974,,
Spherical K-Means | Sentence embedding | K=20 | seed=42,Spherical K-Means,Sentence embedding,20.0,42.0,,,,0.04270052909851074,502.1486511230469,20,0.0,0.044838442887037075,0.524,0.2350779943512663,0.7934062031015507,,
Spherical K-Means | Sentence embedding | K=15 | seed=42,Spherical K-Means,Sentence embedding,15.0,42.0,,,,0.06058526039123535,507.683837890625,15,0.0,0.04939647157458824,0.5275,0.23442740599534354,0.7880355177588795,,
K-Means | Sentence embedding | K=15 | seed=43,K-Means,Sentence embedding,15.0,43.0,,,,0.10957193374633789,886.3549194335938,15,0.0,0.02196955204623684,0.508,0.22332683952449336,0.7842306153076538,,
Spherical K-Means | Sentence embedding | K=15 | seed=43,Spherical K-Means,Sentence embedding,15.0,43.0,,,,0.05698418617248535,507.811279296875,15,0.0,0.041767095054416066,0.5075,0.22240416233458873,0.7847878939469735,,
Spherical K-Means | Sentence embedding | K=7 | seed=42,Spherical K-Means,Sentence embedding,7.0,42.0,,,,0.08104300498962402,533.2054443359375,7,0.0,0.04497558227252658,0.4965,0.21596044617318833,0.7485397698849424,,
K-Means | Sentence embedding | K=7 | seed=42,K-Means,Sentence embedding,7.0,42.0,,,,0.16359567642211914,923.7846069335938,7,0.0,0.023573933827070678,0.492,0.20917114528797628,0.746991995997999,,
Spherical K-Means | Sentence embedding | K=10 | seed=43,Spherical K-Means,Sentence embedding,10.0,43.0,,,,0.07710886001586914,523.5308227539062,10,0.0,0.040902837087587116,0.5075,0.20639731671353087,0.771224112056028,,
K-Means | Sentence embedding | K=10 | seed=42,K-Means,Sentence embedding,10.0,42.0,,,,0.08490729331970215,913.210693359375,10,0.0,0.02200124619516261,0.487,0.20612290805680208,0.7619714857428714,,
K-Means | Sentence embedding | K=10 | seed=43,K-Means,Sentence embedding,10.0,43.0,,,,0.2045276165008545,909.693603515625,10,0.0,0.021179671276720106,0.4985,0.2051303573967506,0.7684862431215608,,
Spherical K-Means | Sentence embedding | K=10 | seed=42,Spherical K-Means,Sentence embedding,10.0,42.0,,,,0.04835987091064453,525.8139038085938,10,0.0,0.04070853462890085,0.4815,0.20222950838892037,0.7620230115057529,,
Spherical K-Means | Sentence embedding | K=5 | seed=42,Spherical K-Means,Sentence embedding,5.0,42.0,,,,0.06439995765686035,544.0838623046875,5,0.0,0.04475201652110047,0.47,0.19595047960035702,0.7252116058029014,,
K-Means | Sentence embedding | K=5 | seed=42,K-Means,Sentence embedding,5.0,42.0,,,,0.08443045616149902,940.1839599609375,5,0.0,0.02385457146058146,0.4625,0.18957006423254244,0.7223126563281641,,
K-Means | Sentence embedding | K=7 | seed=43,K-Means,Sentence embedding,7.0,43.0,,,,0.2165684700012207,925.2613525390625,7,0.0,0.021704979237620197,0.4525,0.18901878233963254,0.7401140570285143,,
Spherical K-Means | Sentence embedding | K=7 | seed=43,Spherical K-Means,Sentence embedding,7.0,43.0,,,,0.1002798080444336,534.497314453125,7,0.0,0.03877841777073834,0.4395,0.18868613621929267,0.7384217108554277,,
K-Means | Sentence embedding | K=5 | seed=43,K-Means,Sentence embedding,5.0,43.0,,,,0.0953207015991211,943.2539672851562,5,0.0,0.01753920147815758,0.4125,0.15025932009663426,0.7122676338169085,,
Spherical K-Means | Sentence embedding | K=5 | seed=43,Spherical K-Means,Sentence embedding,5.0,43.0,,,,0.0630192756652832,546.2308349609375,5,0.0,0.03419745820795301,0.4115,0.149238520009199,0.7122856428214107,,
HAC | Sentence embedding | linkage=complete | K=7,HAC,Sentence embedding,7.0,,,,complete,0.1767277717590332,,7,0.0,0.03576064655545292,0.34,0.1129072744224025,0.6465863453815262,,
K-Means | TF-IDF | K=20 | seed=42,K-Means,TF-IDF,20.0,42.0,,,,1.3422300815582275,1884.8740234375,20,0.0,0.007271947996273246,0.3695,0.0858237060501811,0.7563381690845423,,
K-Means | TF-IDF | K=20 | seed=43,K-Means,TF-IDF,20.0,43.0,,,,2.5670924186706543,1884.308837890625,20,0.0,0.005848698936972313,0.3815,0.08069520713036572,0.7273081540770385,,
HAC | TF-IDF | linkage=complete | K=7,HAC,TF-IDF,7.0,,,,complete,0.17998147010803223,,7,0.0,0.005308321334078808,0.32,0.07853025553868495,0.6228112449799197,,
Spherical K-Means | TF-IDF | K=15 | seed=42,Spherical K-Means,TF-IDF,15.0,42.0,,,,0.8093986511230469,1576.77783203125,15,0.0,0.005084558093789679,0.384,0.07529821953176767,0.7688784392196099,,
K-Means | TF-IDF | K=7 | seed=43,K-Means,TF-IDF,7.0,43.0,,,,1.6187107563018799,1916.51025390625,7,0.0,0.002926541091730928,0.375,0.07477052500986926,0.714087543771886,,
K-Means | TF-IDF | K=15 | seed=42,K-Means,TF-IDF,15.0,42.0,,,,1.4263207912445068,1901.173095703125,15,0.0,0.0020022760325751213,0.382,0.07435327189979828,0.7663416708354177,,
Spherical K-Means | TF-IDF | K=7 | seed=43,Spherical K-Means,TF-IDF,7.0,43.0,,,,0.8671231269836426,1608.968017578125,7,0.0,0.005766482541011999,0.3735,0.07407433964168372,0.7160020010005003,,
Spherical K-Means | TF-IDF | K=5 | seed=43,Spherical K-Means,TF-IDF,5.0,43.0,,,,0.6953568458557129,1620.99462890625,5,0.0,0.006000962825330919,0.3785,0.07395111797500625,0.6769414707353677,,
K-Means | TF-IDF | K=10 | seed=43,K-Means,TF-IDF,10.0,43.0,,,,0.7875707149505615,1905.828369140625,10,0.0,0.001560316156906213,0.368,0.07163592034967427,0.7218829414707354,,
HAC | TF-IDF | linkage=average | K=7,HAC,TF-IDF,7.0,,,,average,0.17624711990356445,,7,0.0,0.004696024990126071,0.28,0.07156378773538774,0.2690441767068273,,
K-Means | TF-IDF | K=15 | seed=43,K-Means,TF-IDF,15.0,43.0,,,,0.9238214492797852,1896.474365234375,15,0.0,-0.0017809860620961674,0.359,0.0707139594879597,0.7573941970985493,,
K-Means | TF-IDF | K=5 | seed=43,K-Means,TF-IDF,5.0,43.0,,,,0.9059038162231445,1921.8245849609375,5,0.0,0.0034641850292712944,0.3725,0.07003209301569706,0.6640545272636318,,
K-Means | TF-IDF | K=10 | seed=42,K-Means,TF-IDF,10.0,42.0,,,,1.68788480758667,1906.716796875,10,0.0,0.004672142547984547,0.3585,0.06981461672061826,0.7235732866433217,,
Spherical K-Means | TF-IDF | K=20 | seed=43,Spherical K-Means,TF-IDF,20.0,43.0,,,,0.40395379066467285,1554.2080078125,20,0.0,0.003840408389814602,0.368,0.06980184925341135,0.7513156578289144,,
Spherical K-Means | TF-IDF | K=10 | seed=43,Spherical K-Means,TF-IDF,10.0,43.0,,,,0.5540957450866699,1593.94140625,10,0.0,0.004532682222048132,0.3605,0.06974747594167147,0.7261985992996498,,
Spherical K-Means | TF-IDF | K=15 | seed=43,Spherical K-Means,TF-IDF,15.0,43.0,,,,0.5033893585205078,1569.1920166015625,15,0.0,0.0051824946903844425,0.366,0.06891008254977332,0.7610730365182591,,
Spherical K-Means | TF-IDF | K=20 | seed=42,Spherical K-Means,TF-IDF,20.0,42.0,,,,0.4586045742034912,1556.09228515625,20,0.0,0.005361270814642775,0.3575,0.0685403534007537,0.7678529264632317,,
Spherical K-Means | TF-IDF | K=7 | seed=42,Spherical K-Means,TF-IDF,7.0,42.0,,,,0.7356774806976318,1608.7135009765625,7,0.0,0.007115441504945568,0.357,0.06740365635091204,0.6638229114557279,,
K-Means | TF-IDF | K=7 | seed=42,K-Means,TF-IDF,7.0,42.0,,,,1.1213154792785645,1914.6265869140625,7,0.0,0.00475839450473284,0.3455,0.06666064695291599,0.6479909954977489,,
HAC | TF-IDF | linkage=single | K=7,HAC,TF-IDF,7.0,,,,single,0.19584870338439941,,7,0.0,0.0035409610237837966,0.284,0.06466594624001631,0.2189879518072289,,
Spherical K-Means | TF-IDF | K=5 | seed=42,Spherical K-Means,TF-IDF,5.0,42.0,,,,0.6403102874755859,1622.541015625,5,0.0,0.005399716062504323,0.3655,0.06170594103120486,0.6653451725862931,,
Spherical K-Means | TF-IDF | K=10 | seed=42,Spherical K-Means,TF-IDF,10.0,42.0,,,,0.8342375755310059,1591.029052734375,10,0.0,0.006255597353652928,0.35,0.06065770726475486,0.7278649324662331,,
HAC | Sentence embedding | linkage=average | K=7,HAC,Sentence embedding,7.0,,,,average,0.17908048629760742,,7,0.0,0.009210523895376101,0.284,0.059515516584881814,0.2722570281124498,,
K-Means | TF-IDF | K=5 | seed=42,K-Means,TF-IDF,5.0,42.0,,,,0.8709681034088135,1921.947998046875,5,0.0,0.0031089077594444302,0.3565,0.058441744952976105,0.6519474737368685,,
HAC | Sentence embedding | linkage=single | K=7,HAC,Sentence embedding,7.0,,,,single,0.1796131134033203,,7,0.0,-0.021727905509460407,0.28,0.045326661469488834,0.2071004016064257,,
DBSCAN | TF-IDF | eps=0.9 | min_samples=5,DBSCAN,TF-IDF,,,0.9,5.0,,0.0019996166229248047,,6,0.20999999999999996,0.00038130017726702457,0.2911392405063291,0.03569971609400711,0.2269554053240787,632.0,True
DBSCAN | Sentence embedding | eps=0.35 | min_samples=5,DBSCAN,Sentence embedding,,,0.35,5.0,,0.002012968063354492,,2,0.32999999999999996,0.06333412572165438,0.30597014925373134,0.02193270918999591,0.20025805551680848,536.0,True
DBSCAN | TF-IDF | eps=0.7 | min_samples=5,DBSCAN,TF-IDF,,,0.7,5.0,,0.0020029544830322266,,2,0.98375,,,,,13.0,False
DBSCAN | TF-IDF | eps=0.7 | min_samples=10,DBSCAN,TF-IDF,,,0.7,10.0,,0.0020074844360351562,,0,1.0,,,,,0.0,False
DBSCAN | TF-IDF | eps=0.8 | min_samples=5,DBSCAN,TF-IDF,,,0.8,5.0,,0.001997232437133789,,7,0.945,,,,,44.0,False
DBSCAN | TF-IDF | eps=0.8 | min_samples=10,DBSCAN,TF-IDF,,,0.8,10.0,,0.001001119613647461,,1,0.9875,,,,,10.0,False
DBSCAN | TF-IDF | eps=0.9 | min_samples=10,DBSCAN,TF-IDF,,,0.9,10.0,,0.002000570297241211,,5,0.6925,,,,,246.0,False
DBSCAN | TF-IDF | eps=0.95 | min_samples=5,DBSCAN,TF-IDF,,,0.95,5.0,,0.003999471664428711,,1,0.003750000000000031,,,,,797.0,False
DBSCAN | TF-IDF | eps=0.95 | min_samples=10,DBSCAN,TF-IDF,,,0.95,10.0,,0.004999876022338867,,1,0.003750000000000031,,,,,797.0,False
DBSCAN | Sentence embedding | eps=0.15 | min_samples=5,DBSCAN,Sentence embedding,,,0.15,5.0,,0.0019981861114501953,,1,0.99375,,,,,5.0,False
DBSCAN | Sentence embedding | eps=0.15 | min_samples=10,DBSCAN,Sentence embedding,,,0.15,10.0,,0.0020008087158203125,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=5,DBSCAN,Sentence embedding,,,0.2,5.0,,0.002003192901611328,,2,0.9825,,,,,14.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=10,DBSCAN,Sentence embedding,,,0.2,10.0,,0.0009999275207519531,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=5,DBSCAN,Sentence embedding,,,0.25,5.0,,0.0019998550415039062,,4,0.96,,,,,32.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=10,DBSCAN,Sentence embedding,,,0.25,10.0,,0.001001119613647461,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=5,DBSCAN,Sentence embedding,,,0.3,5.0,,0.0019998550415039062,,11,0.785,,,,,172.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=10,DBSCAN,Sentence embedding,,,0.3,10.0,,0.0019991397857666016,,4,0.91875,,,,,65.0,False
DBSCAN | Sentence embedding | eps=0.35 | min_samples=10,DBSCAN,Sentence embedding,,,0.35,10.0,,0.0019979476928710938,,1,0.43374999999999997,,,,,453.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=5,DBSCAN,Sentence embedding,,,0.4,5.0,,0.0030045509338378906,,1,0.04874999999999996,,,,,761.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=10,DBSCAN,Sentence embedding,,,0.4,10.0,,0.0029959678649902344,,1,0.05874999999999997,,,,,753.0,False
